email,status
learner_1606801918164@yopmail.com,true
learner_1607953020485@yopmail.com,true
learner_1611557569590@yopmail.com,true
learner_1612845968140@yopmail.com,true
learner_1612846048479@yopmail.com,true
learner_1614858270859@yopmail.com,true
learner_1614858354764@yopmail.com,true
learner_1614858435974@yopmail.com,true
learner_1614858517326@yopmail.com,true
learner_1614858595698@yopmail.com,true
learner_1621572520562@yopmail.com,true
learner_1621572598139@yopmail.com,true
learner_1621572678513@yopmail.com,true
cqaproduser3+1623993594094@gmail.com,true
cqaproduser3+1623993691685@gmail.com,true
cqaproduser3+1623993786051@gmail.com,true
cqaproduser3+1623993882275@gmail.com,true
cqaproduser3+1623993973889@gmail.com,true
cqaproduser3+1626930981195@gmail.com,true
cqaproduser3+1626931074957@gmail.com,true
cqaproduser3+1626931170212@gmail.com,true
cqaproduser3+1626931362837@gmail.com,true
cqaproduser3+1629279862996@gmail.com,true
cqaproduser3+1630612860100@gmail.com,true
cqaproduser3+1631784150858@gmail.com,true
cqaproduser3+1633587846955@gmail.com,true
cqaproduser3+1635252099357@gmail.com,true
cqaproduser3+1636704139841@gmail.com,true
cqaproduser3+1636704258513@gmail.com,true
cqaproduser3+1636704362426@gmail.com,false
cqaproduser3+1636704456535@gmail.com,false
cqaproduser3+1636704558987@gmail.com,false
